resultado_obtido,resultado_esperado,tempo_processamento
False,False,0.46451376666666666
False,False,0.4407443333333333
False,False,0.4206009
False,False,0.3936864666666667
False,False,0.36962265
False,False,0.3481522
False,False,0.3284530166666666
False,False,0.30466555
False,False,0.2815964333333333
False,False,0.2606493
False,False,0.2357395166666666
False,False,0.2133845
False,False,0.1895850166666667
False,False,0.1733068666666666
False,False,0.1556943166666666
False,False,0.1320369
False,False,0.1104782499999999
False,False,0.0923191666666666
False,False,0.0695102833333333
False,False,0.0487589166666666
False,False,0.0285537166666666
False,False,0.4914497333333333
False,False,0.4713117166666666
False,False,0.4503720833333333
False,False,0.4268491
False,False,0.40652325
False,False,0.3879969333333333
False,False,0.3689235833333333
False,False,0.3474409333333333
False,False,0.3239824833333333
False,False,0.2946828
False,False,0.27011835
False,False,0.2451229499999999
False,False,0.2170971833333333
False,False,0.1858048833333333
False,False,0.15070385
False,False,0.1202411666666666
False,False,0.0983398333333333
False,False,0.0802643833333333
False,False,0.05619985
False,False,0.0350812499999999
False,False,0.0428673166666666
False,False,0.0616782333333333
False,False,0.3514705833333333
False,False,0.5059466499999999
False,False,0.4861331333333333
False,False,0.4640236166666666
False,False,0.4439315333333333
False,False,0.4207117333333333
False,False,0.4019686833333333
False,False,0.3821209666666666
False,False,0.3583603833333333
False,False,0.329047
False,False,0.3021916666666666
False,False,0.2769861166666666
False,False,0.2456156333333333
False,False,0.2190260999999999
False,False,0.1883646666666666
False,False,0.1581350833333333
False,False,0.1274723999999999
False,False,0.1062601833333333
False,False,0.0869672166666666
False,False,0.0526690333333333
False,False,0.0268150666666666
False,False,0.5187596833333333
False,False,0.4967124833333333
False,False,0.4704613833333333
False,False,0.4503429
False,False,0.4291818666666666
False,False,0.4046170666666667
False,False,0.3803478333333333
False,False,0.3503364833333333
False,False,0.3229266666666666
False,False,0.2953742166666667
False,False,0.2687345499999999
False,False,0.22734935
False,False,0.2051266166666666
False,False,0.1832121333333333
False,False,0.145886
False,False,0.1218082166666666
False,False,0.1031427
False,False,0.0841897166666666
False,False,0.06416985
False,False,0.0405916666666666
False,False,0.5837494166666667
False,False,0.5650134
False,False,0.5430784833333333
False,False,0.5178645833333333
False,False,0.4817242833333333
False,False,0.4542738
False,False,0.4282863
False,False,0.4033510666666666
False,False,0.3714269166666666
False,False,0.3424198499999999
False,False,0.30281305
False,False,0.2674588166666666
False,False,0.2442350499999999
False,False,0.2123323666666666
False,False,0.1744872833333333
False,False,0.1456944833333333
False,False,0.1145891666666666
False,False,0.08981435
False,False,0.0641874166666666
False,False,0.0368251666666666
False,False,0.0404831166666666
False,False,0.0485345666666666
False,False,1.6295094166666668
False,False,1.31917665
False,False,1.2613891666666668
False,False,1.2097350833333331
False,False,1.15340085
False,False,1.0982160166666666
False,False,1.042960916666667
False,False,0.9909878833333334
False,False,0.9306124333333332
False,False,0.8298915499999999
False,False,0.7355286499999999
False,False,0.6737424666666667
False,False,0.5809166833333334
False,False,0.5163537833333334
False,False,0.4526545666666666
